0-4-1-1,298
0-4-2-0,298
0-4-2-1,298
0-5-0-0,298
0-5-0-1,298
0-5-1-0,298
0-5-1-1,298
0-5-2-0,298
0-5-2-1,298
0-6-0-0,299
0-6-0-1,299
0-6-1-0,111
0-6-1-1,111
0-6-10-0,299
0-6-10-1,299
0-6-11-0,299
0-6-11-1,299
0-6-12-0,299
0-6-12-1,299
0-6-13-0,111
0-6-13-1,111
0-6-2-0,299
0-6-2-1,299
0-6-3-0,298
0-6-3-1,298
0-6-4-0,300
0-6-4-1,300
0-6-5-0,299
0-6-5-1,299
0-6-7-0,111
0-6-7-1,111
0-6-8-0,111
0-6-8-1,111
0-6-9-0,298
0-6-9-1,298
0-7-0-0,299
0-7-0-1,299
0-7-1-0,298
0-7-1-1,298
0-7-2-0,298
0-7-2-1,298
0-7-3-0,111
0-7-3-1,111
0-7-4-0,298
0-7-4-1,298
0-7-5-0,111
0-7-5-1,111
0-7-6-0,300
0-7-6-1,300
0-7-7-0,299
0-7-7-1,299
0-7-8-0,299
0-7-8-1,299
0-8-0-0,299
0-8-0-1,299
0-8-1-0,111
0-8-1-1,111
0-8-2-0,111
0-8-2-1,111
0-8-3-0,298
0-8-3-1,298
0-8-4-0,299
0-8-4-1,299
0-8-5-0,111
0-8-5-1,111
0-8-7-0,111
0-8-7-1,111
0-8-8-0,299
0-8-8-1,299
0-8-9-0,300
0-8-9-1,300
0-9-0-0,299
0-9-0-1,299
0-9-1-0,299
0-9-1-1,299
0-9-10-0,299
0-9-10-1,299
0-9-11-0,111
0-9-11-1,111
0-9-12-0,299
0-9-12-1,299
0-9-13-0,111
0-9-13-1,111
0-9-2-0,111
0-9-2-1,111
0-9-3-0,299
0-9-3-1,299
0-9-4-0,298
0-9-4-1,298
0-9-5-0,299
0-9-5-1,299
0-9-6-0,299
0-9-6-1,299
0-9-7-0,299
0-9-7-1,299
0-9-8-0,299
0-9-8-1,299
0-9-9-0,299
0-9-9-1,299
1-0-1-0,299
1-0-1-1,299
1-1-1-0,111
1-1-1-1,111
1-1-2-0,299
1-1-2-1,299
1-2-0-0,299
1-2-0-1,299
1-2-1-0,111
1-2-1-1,111
1-2-2-0,111
1-2-2-1,111
1-2-3-0,299
1-2-3-1,299
1-2-4-0,299
1-2-4-1,299
1-2-5-0,299
1-2-5-1,299
1-2-6-0,111
1-2-6-1,111
10-0-0-0,299
10-0-0-1,299
10-0-1-0,299
10-0-1-1,299
10-0-3-0,299
10-0-3-1,299
10-0-4-0,299
10-0-4-1,299
10-0-5-0,299
10-0-5-1,299
10-0-6-0,299
10-0-6-1,299
10-0-7-0,299
10-0-7-1,299
10-0-8-0,298
10-0-8-1,298
10-1-1-0,298
10-1-1-1,298
10-1-2-0,299
10-1-2-1,299
10-2-0-0,299
10-2-0-1,299
10-2-1-0,111
10-2-1-1,111
10-2-2-0,300
10-2-2-1,300
10-2-3-0,299
10-2-3-1,299
10-3-0-0,111
10-3-0-1,111
10-3-3-0,299
10-3-3-1,299
10-4-0-0,111
10-4-0-1,111
10-4-1-0,298
10-4-1-1,298
10-4-3-0,111
10-4-3-1,111
10-4-4-0,299
10-4-4-1,299
10-4-5-0,299
10-4-5-1,299
10-4-6-0,298
10-4-6-1,298
10-4-7-0,299
10-4-7-1,299
11-0-0-0,298
11-0-0-1,298
11-0-10-0,299
11-0-10-1,299
11-0-11-0,299
11-0-11-1,299
11-0-13-0,299
11-0-13-1,299
11-0-2-0,299
11-0-2-1,299
11-0-3-0,299
11-0-3-1,299
11-0-4-0,299
11-0-4-1,299
11-0-5-0,299
11-0-5-1,299
